model,condition,price,quantity,seller,geographic_region,listing_age,source_url,source_type,bulk_notes,title,canonical_model,match_type,match_score,is_valid_gpu,unknown_reason,match_notes,vram_gb,tdp_w,mig_capable,slots,form_factor,nvlink,generation,cuda_cores,pcie_generation,notes,warnings,quantization_capacity
RTX5070,New,724.99,Available,Wamatek,USA,Current,https://wamatek.com/products/tuf-rtx5070-o12g-gaming,Shopify_Wamatek,"SKU: 197105870352, Vendor: ASUS",TUF-RTX5070-O12G-GAMING,RTX_5070,regex,0.9,True,,regex: matched pattern 'RTX_5070' on text 'RTX5070',12.0,250.0,0.0,2.0,Dual-slot,False,Blackwell,6144.0,5.0,,,
SFF-READY ASUS PRIME GEFORCE,New,920.99,Available,Wamatek,USA,Current,https://wamatek.com/products/sff-ready-asus-prime-geforce,Shopify_Wamatek,"SKU: 0197105878044, Vendor: ASUS - VGA NVIDIA",SFF-READY ASUS PRIME GEFORCE,UNKNOWN,none,0.0,True,Could not match to any known GPU model,,0.0,0.0,0.0,1.0,Standard,False,,,,,Model 'UNKNOWN' not found in GPU registry,
HP NVIDIA T1000 Graphic,New,509.99,Available,Wamatek,USA,Current,https://wamatek.com/products/hp-nvidia-t1000-graphic-card-8-gb,Shopify_Wamatek,"SKU: 196337668348, Vendor: HP Business",HP NVIDIA T1000 Graphic Card - 8 GB,T1000,regex,0.9,True,,regex: matched pattern 'T1000' on text 'NVIDIA T1000',4.0,50.0,0.0,1.0,Single-slot,False,Turing,896.0,3.0,,,
RTX 5070,New,576.99,Available,Wamatek,USA,Current,https://wamatek.com/products/pny-nvidia-geforce-rtx-5070-graphic-card-12-gb-gddr7,Shopify_Wamatek,"SKU: 0751492794471, Vendor: PNY Technologies",PNY NVIDIA GeForce RTX 5070 Graphic Card - 12 GB GDDR7,RTX_5070,regex,0.9,True,,regex: matched pattern 'RTX_5070' on text 'GeForce RTX 5070',12.0,250.0,0.0,2.0,Dual-slot,False,Blackwell,6144.0,5.0,,,
GT 1030 4GD4 LP,New,99.99,Available,Wamatek,USA,Current,https://wamatek.com/products/gt-1030-4gd4-lp-oc-1,Shopify_Wamatek,"SKU: 824142327654, Vendor: MSI",GT 1030 4GD4 LP OC,GT_1030,regex,0.9,True,,regex: matched pattern 'GT_1030' on text 'GT 1030',2.0,30.0,0.0,1.0,Single-slot,False,Pascal,384.0,3.0,,,
RTX3050,New,180.99,Available,Wamatek,USA,Current,https://wamatek.com/products/gf-rtx3050-ventus-2x6g-oc,Shopify_Wamatek,"SKU: 824142348710, Vendor: MSI",GF RTX3050 VENTUS 2X6G OC,RTX_3050,regex,0.9,True,,regex: matched pattern 'RTX_3050' on text 'RTX3050',8.0,130.0,0.0,2.0,Dual-slot,False,Ampere,2560.0,4.0,,,
MSI NVIDIA GeForce GT,New,54.99,Available,Wamatek,USA,Current,https://wamatek.com/products/msi-nvidia-geforce-gt-710-graphic-card-2-gb-ddr3-sdram-low-profile,Shopify_Wamatek,"SKU: 824142126905, Vendor: MSI",MSI NVIDIA GeForce GT 710 Graphic Card - 2 GB DDR3 SDRAM - Low-profile,GT_710,regex,0.9,True,,regex: matched pattern 'GT_710' on text 'GeForce GT 710',2.0,19.0,0.0,1.0,Single-slot,False,Kepler,192.0,2.0,,,
AVerMedia Live Gamer EXTREME,New,151.99,Available,Wamatek,USA,Current,https://wamatek.com/products/avermedia-live-gamer-extreme-3-plug-and-play-4k-capture-card-taa-and-ndaa-compliant,Shopify_Wamatek,"SKU: 850036764120, Vendor: AVermedia Technology",AVerMedia Live Gamer EXTREME 3 Plug and Play 4K Capture Card. TAA and NDAA Compliant,UNKNOWN,none,0.0,True,Could not match to any known GPU model,,0.0,0.0,0.0,1.0,Standard,False,,,,,Model 'UNKNOWN' not found in GPU registry,
Asus NVIDIA GeForce GT,New,79.99,Available,Wamatek,USA,Current,https://wamatek.com/products/asus-nvidia-geforce-gt-730-graphic-card-2-gb-gddr5-low-profile,Shopify_Wamatek,"SKU: 195553250122, Vendor: ASUS",Asus NVIDIA GeForce GT 730 Graphic Card - 2 GB GDDR5 - Low-profile,GT_730,regex,0.9,True,,regex: matched pattern 'GT_730' on text 'GeForce GT 730',4.0,25.0,0.0,1.0,Single-slot,False,Kepler,384.0,2.0,,,
1920 x 1080,New,50.99,Available,Wamatek,USA,Current,https://wamatek.com/products/eaton-tripp-lite-series-usb-2-0-to-dvi-vga-external-multi-monitor-video-card-128-mb-sdram-1920-x-1080-1080p-60-hz,Shopify_Wamatek,"SKU: 818240270363, Vendor: Eaton Corporation","Eaton Tripp Lite Series USB 2.0 to DVI/VGA External Multi-Monitor Video Card, 128 MB SDRAM, 1920 x 1080 (1080p) @ 60 Hz",UNKNOWN,none,0.0,True,Could not match to any known GPU model,,0.0,0.0,0.0,1.0,Standard,False,,,,,Model 'UNKNOWN' not found in GPU registry,
C2G TruLink VGA to,New,65.99,Available,Wamatek,USA,Current,https://wamatek.com/products/c2g-trulink-vga-to-composite-pc-tv-video-adapter,Shopify_Wamatek,"SKU: 757120295488, Vendor: Legrand Group",C2G TruLink VGA to Composite PC-TV Video Adapter,UNKNOWN,none,0.0,True,Could not match to any known GPU model,,0.0,0.0,0.0,1.0,Standard,False,,,,,Model 'UNKNOWN' not found in GPU registry,
RTX 3060,New,296.99,Available,Wamatek,USA,Current,https://wamatek.com/products/msi-nvidia-geforce-rtx-3060-graphic-card-12-gb-gddr6-1,Shopify_Wamatek,"SKU: 824142240106, Vendor: MSI",MSI NVIDIA GeForce RTX 3060 Graphic Card - 12 GB GDDR6,RTX_3060,regex,0.9,True,,regex: matched pattern 'RTX_3060' on text 'GeForce RTX 3060',12.0,170.0,0.0,2.0,Dual-slot,False,Ampere,3584.0,4.0,,,
AMD RADEON PRO W6400,New,231.99,Available,Wamatek,USA,Current,https://wamatek.com/products/amd-radeon-pro-w6400,Shopify_Wamatek,"SKU: 727419314008, Vendor: AMD PRO GRAPHICS",AMD RADEON PRO W6400,UNKNOWN,none,0.0,True,Could not match to any known GPU model,,0.0,0.0,0.0,1.0,Standard,False,,,,,Model 'UNKNOWN' not found in GPU registry,
NV 1000 8G CARD,New,466.99,Available,Wamatek,USA,Current,https://wamatek.com/products/nv-1000-8g-card,Shopify_Wamatek,"SKU: 195892052913, Vendor: Lenovo Group Limited",NV 1000 8G CARD,A1000,fuzzy,0.6400000000000001,True,,fuzzy: matched 'A1000' with score 80.0,8.0,50.0,0.0,1.0,Single-slot,False,Ampere,1280.0,4.0,,,
RTX 4000,New,1226.99,Available,Wamatek,USA,Current,https://wamatek.com/products/nvidia-rtx-4000-ada,Shopify_Wamatek,"SKU: 751492776958, Vendor: PNY Technologies",NVIDIA RTX 4000 ADA,RTX_4000_SFF_ADA,regex,0.9,True,,regex: matched pattern 'RTX_4000_SFF_ADA' on text 'NVIDIA RTX 4000 ADA',20.0,70.0,4.0,1.0,SFF,False,Ada,6144.0,4.0,,,
RTX5070,New,693.99,Available,Wamatek,USA,Current,https://wamatek.com/products/prime-rtx5070-o12g,Shopify_Wamatek,"SKU: 197105870406, Vendor: ASUS Computer International",PRIME-RTX5070-O12G,RTX_5070,regex,0.9,True,,regex: matched pattern 'RTX_5070' on text 'RTX5070',12.0,250.0,0.0,2.0,Dual-slot,False,Blackwell,6144.0,5.0,,,
HPE NVIDIA A2 Graphic,New,3732.99,Available,Wamatek,USA,Current,https://wamatek.com/products/hpe-nvidia-a2-graphic-card-16-gb-gddr6-low-profile,Shopify_Wamatek,"SKU: 190017587318, Vendor: HPE BTO SERVER OPTIONS",HPE NVIDIA A2 Graphic Card - 16 GB GDDR6 - Low-profile,A2,regex,0.9,True,,regex: matched pattern 'A2' on text 'NVIDIA A2',16.0,60.0,7.0,1.0,Single-slot,False,Ampere,3584.0,4.0,,,
RTX 3060,New,319.99,Available,Wamatek,USA,Current,https://wamatek.com/products/asus-nvidia-geforce-rtx-3060-graphic-card-12-gb-gddr6,Shopify_Wamatek,"SKU: 195553309899, Vendor: ASUS Computer International",Asus NVIDIA GeForce RTX 3060 Graphic Card - 12 GB GDDR6,RTX_3060,regex,0.9,True,,regex: matched pattern 'RTX_3060' on text 'GeForce RTX 3060',12.0,170.0,0.0,2.0,Dual-slot,False,Ampere,3584.0,4.0,,,
RX 6600 XT,New,476.99,Available,Wamatek,USA,Current,https://wamatek.com/products/asus-rog-amd-radeon-rx-6600-xt-graphic-card-8-gb-gddr6,Shopify_Wamatek,"SKU: 195553332781, Vendor: ASUS Computer International",Asus ROG AMD Radeon RX 6600 XT Graphic Card - 8 GB GDDR6,UNKNOWN,none,0.0,True,Could not match to any known GPU model,,0.0,0.0,0.0,1.0,Standard,False,,,,,Model 'UNKNOWN' not found in GPU registry,
P7304 VIDEO ENCODER 4,New,408.99,Available,Wamatek,USA,Current,https://wamatek.com/products/p7304-video-encoder-4-channel,Shopify_Wamatek,"SKU: 7331021066403, Vendor: AXIS COMMUNICATION INC",P7304 VIDEO ENCODER 4 CHANNEL,UNKNOWN,none,0.0,True,Could not match to any known GPU model,,0.0,0.0,0.0,1.0,Standard,False,,,,,Model 'UNKNOWN' not found in GPU registry,
Gefen VGA to DVI,New,317.99,Available,Wamatek,USA,Current,https://wamatek.com/products/gefen-vga-to-dvi-scaler-converter,Shopify_Wamatek,"SKU: 888814071825, Vendor: Gefen, Inc",Gefen VGA to DVI Scaler / Converter,UNKNOWN,none,0.0,True,Could not match to any known GPU model,,0.0,0.0,0.0,1.0,Standard,False,,,,,Model 'UNKNOWN' not found in GPU registry,
Gefen HDMI & VGA,New,437.99,Available,Wamatek,USA,Current,https://wamatek.com/products/gefen-hdmi-vga-to-3gsdi-scaler-converter,Shopify_Wamatek,"SKU: 888814180831, Vendor: Gefen, Inc",Gefen HDMI & VGA to 3GSDI Scaler/Converter,UNKNOWN,none,0.0,True,Could not match to any known GPU model,,0.0,0.0,0.0,1.0,Standard,False,,,,,Model 'UNKNOWN' not found in GPU registry,
Eaton Tripp Lite Series,New,53.99,Available,Wamatek,USA,Current,https://wamatek.com/products/eaton-tripp-lite-series-vga-to-hdmi-active-adapter-cable-with-audio-and-usb-power-m-f-1080p-6-in-15-2-cm,Shopify_Wamatek,"SKU: 996591075223, Vendor: Eaton Corporation","Eaton Tripp Lite Series VGA to HDMI Active Adapter Cable with Audio and USB Power (M/F), 1080p, 6 in. (15.2 cm)",UNKNOWN,none,0.0,True,Could not match to any known GPU model,,0.0,0.0,0.0,1.0,Standard,False,,,,,Model 'UNKNOWN' not found in GPU registry,
Eaton Tripp Lite Series,New,62.99,Available,Wamatek,USA,Current,https://wamatek.com/products/eaton-tripp-lite-series-4k-hdmi-audio-de-embedder-extractor-with-toslink-rca-and-3-5-mm-stereo-output-5-1-channel-hdcp-4k-30hz,Shopify_Wamatek,"SKU: 991428661662, Vendor: Eaton Corporation","Eaton Tripp Lite Series 4K HDMI Audio De-Embedder/Extractor with TOSLINK, RCA and 3.5 mm Stereo Output, 5.1 Channel, HDCP, 4K 30Hz",UNKNOWN,none,0.0,True,Could not match to any known GPU model,,0.0,0.0,0.0,1.0,Standard,False,,,,,Model 'UNKNOWN' not found in GPU registry,
HDMI VIDEO H.264 H.265,New,188.99,Available,Wamatek,USA,Current,https://wamatek.com/products/hdmi-video-h-264-h-265,Shopify_Wamatek,"SKU: 662774045030, Vendor: SIIG",HDMI VIDEO H.264 H.265,UNKNOWN,none,0.0,True,Could not match to any known GPU model,,0.0,0.0,0.0,1.0,Standard,False,,,,,Model 'UNKNOWN' not found in GPU registry,
RADEON RX550 SFF 4M,New,166.99,Available,Wamatek,USA,Current,https://wamatek.com/products/radeon-rx550-sff-4m-4gb-gddr5,Shopify_Wamatek,"SKU: 810078050810, Vendor: VISIONTEK",RADEON RX550 SFF 4M 4GB GDDR5,UNKNOWN,none,0.0,True,Could not match to any known GPU model,,0.0,0.0,0.0,1.0,Standard,False,,,,,Model 'UNKNOWN' not found in GPU registry,
RADEON RX550 4M 4GB,New,184.99,Available,Wamatek,USA,Current,https://wamatek.com/products/radeon-rx550-4m-4gb-gddr5,Shopify_Wamatek,"SKU: 810078050056, Vendor: VISIONTEK",RADEON RX550 4M 4GB GDDR5,UNKNOWN,none,0.0,True,Could not match to any known GPU model,,0.0,0.0,0.0,1.0,Standard,False,,,,,Model 'UNKNOWN' not found in GPU registry,
Plugable HDMI Capture Card,New,29.0,Available,Wamatek,USA,Current,https://wamatek.com/products/plugable-hdmi-capture-card-usb-3-0-and-usb-c-record-stream-and-go-live-with-dslr-1080p-60fps-hdmi-passthrough-for-monitor,Shopify_Wamatek,"SKU: 819927011828, Vendor: Plugable Technologies","Plugable HDMI Capture Card USB 3.0 and USB-C, Record, Stream and Go Live with DSLR, 1080P 60FPS, HDMI Passthrough for Monitor",UNKNOWN,none,0.0,True,Could not match to any known GPU model,,0.0,0.0,0.0,1.0,Standard,False,,,,,Model 'UNKNOWN' not found in GPU registry,
Ubiquiti UniFi Protect ViewPort,New,209.99,Available,Wamatek,USA,Current,https://wamatek.com/products/ubiquiti-unifi-protect-viewport-poe,Shopify_Wamatek,"SKU: 817882029575, Vendor: Ubiquiti Inc.",Ubiquiti UniFi Protect ViewPort PoE,UNKNOWN,none,0.0,True,Could not match to any known GPU model,,0.0,0.0,0.0,1.0,Standard,False,,,,,Model 'UNKNOWN' not found in GPU registry,
RADEON 7750 SFF 1GB,New,149.99,Available,Wamatek,USA,Current,https://wamatek.com/products/radeon-7750-sff-1gb-ddr3-3m-2x,Shopify_Wamatek,"SKU: 784090031624, Vendor: VISIONTEK",RADEON 7750 SFF 1GB DDR3 3M 2X,UNKNOWN,none,0.0,True,Could not match to any known GPU model,,0.0,0.0,0.0,1.0,Standard,False,,,,,Model 'UNKNOWN' not found in GPU registry,
RTX5070,New,724.99,Available,Wamatek,USA,Current,https://wamatek.com/products/tuf-rtx5070-o12g-gaming,Shopify_Wamatek,"SKU: 197105870352, Vendor: ASUS",TUF-RTX5070-O12G-GAMING,RTX_5070,regex,0.9,True,,regex: matched pattern 'RTX_5070' on text 'RTX5070',12.0,250.0,0.0,2.0,Dual-slot,False,Blackwell,6144.0,5.0,,,
NV RTX A400 4GB,New,192.99,Available,Wamatek,USA,Current,https://wamatek.com/products/nv-rtx-a400-4gb-gpu,Shopify_Wamatek,"SKU: 195892109709, Vendor: Lenovo",NV RTX A400 4GB GPU,RTX_4000_SFF_ADA,regex,0.9,True,,regex: matched pattern 'RTX_4000_SFF_ADA' on text 'RTX A400',20.0,70.0,4.0,1.0,SFF,False,Ada,6144.0,4.0,,,
RTX 5070,New,638.99,Available,Wamatek,USA,Current,https://wamatek.com/products/rtx-5070-12g-shadow-3x-oc,Shopify_Wamatek,"SKU: 824142405741, Vendor: MSI",RTX 5070 12G SHADOW 3X OC,RTX_5070,regex,0.9,True,,regex: matched pattern 'RTX_5070' on text 'RTX 5070',12.0,250.0,0.0,2.0,Dual-slot,False,Blackwell,6144.0,5.0,,,
RTX 5070,New,627.99,Available,Wamatek,USA,Current,https://wamatek.com/products/rtx-5070-12g-ventus-2x-oc,Shopify_Wamatek,"SKU: 824142405727, Vendor: MSI",RTX 5070 12G VENTUS 2X OC,RTX_5070,regex,0.9,True,,regex: matched pattern 'RTX_5070' on text 'RTX 5070',12.0,250.0,0.0,2.0,Dual-slot,False,Blackwell,6144.0,5.0,,,
Lenovo NVIDIA RTX A1000,New,496.99,Available,Wamatek,USA,Current,https://wamatek.com/products/lenovo-nvidia-rtx-a1000-graphic-card-8-gb-gddr6-1,Shopify_Wamatek,"SKU: 195892109693, Vendor: Lenovo Group Limited",Lenovo NVIDIA RTX A1000 Graphic Card - 8 GB GDDR6,A1000,regex,0.9,True,,regex: matched pattern 'A1000' on text 'NVIDIA RTX A1000',8.0,50.0,0.0,1.0,Single-slot,False,Ampere,1280.0,4.0,,,
GeForce GT 1030,New,89.99,Available,Wamatek,USA,Current,https://wamatek.com/products/gigabyte-nvidia-geforce-gt-1030-graphic-card-2-gb-ddr4-sdram-low-profile,Shopify_Wamatek,"SKU: 889523013366, Vendor: GIGABYTE Technology, Inc",Gigabyte NVIDIA GeForce GT 1030 Graphic Card - 2 GB DDR4 SDRAM - Low-profile,GT_1030,regex,0.9,True,,regex: matched pattern 'GT_1030' on text 'GeForce GT 1030',2.0,30.0,0.0,1.0,Single-slot,False,Pascal,384.0,3.0,,,
DT RADEON PRO NAVI31,New,2448.99,Available,Wamatek,USA,Current,https://wamatek.com/products/dt-radeon-pro-navi31-xl-w-mba-t,Shopify_Wamatek,"SKU: 0727419314886, Vendor: AMD PRO GRAPHICS",DT RADEON PRO NAVI31 XL-W MBA T,UNKNOWN,none,0.0,True,Could not match to any known GPU model,,0.0,0.0,0.0,1.0,Standard,False,,,,,Model 'UNKNOWN' not found in GPU registry,
DT RADEON PRO NAVI31,New,3917.99,Available,Wamatek,USA,Current,https://wamatek.com/products/dt-radeon-pro-navi31-xt-w-mba-t,Shopify_Wamatek,"SKU: 0727419314879, Vendor: AMD PRO GRAPHICS",DT RADEON PRO NAVI31 XT-W MBA T,UNKNOWN,none,0.0,True,Could not match to any known GPU model,,0.0,0.0,0.0,1.0,Standard,False,,,,,Model 'UNKNOWN' not found in GPU registry,
GT 1030 4GD4 LP,New,99.99,Available,Wamatek,USA,Current,https://wamatek.com/products/gt-1030-4gd4-lp-oc,Shopify_Wamatek,"SKU: 0824142327654, Vendor: MSI - NVIDIA",GT 1030 4GD4 LP OC,GT_1030,regex,0.9,True,,regex: matched pattern 'GT_1030' on text 'GT 1030',2.0,30.0,0.0,1.0,Single-slot,False,Pascal,384.0,3.0,,,
D1110 VIDEO DECODER,New,618.99,Available,Wamatek,USA,Current,https://wamatek.com/products/d1110-video-decoder,Shopify_Wamatek,"SKU: 7331021075696, Vendor: AXIS COMMUNICATION INC",D1110 VIDEO DECODER,UNKNOWN,none,0.0,True,Could not match to any known GPU model,,0.0,0.0,0.0,1.0,Standard,False,,,,,Model 'UNKNOWN' not found in GPU registry,
MSI 64-BIT DUAL-LINK,New,139.99,Available,Wamatek,USA,Current,https://wamatek.com/products/msi-64-bit-dual-link,Shopify_Wamatek,"SKU: 824142255810, Vendor: MSI SOURCING",MSI 64-BIT DUAL-LINK,UNKNOWN,none,0.0,True,Could not match to any known GPU model,,0.0,0.0,0.0,1.0,Standard,False,,,,,Model 'UNKNOWN' not found in GPU registry,
VisionTek Radeon 7750,New,193.99,Available,Wamatek,USA,Current,https://wamatek.com/products/visiontek-radeon-7750-2gb-gddr5-6m-6x-minidp-1,Shopify_Wamatek,"SKU: 0784090031808, Vendor: VisionTek Products, LLC",VisionTek Radeon 7750 2GB GDDR5 6M (6x MiniDP),UNKNOWN,none,0.0,True,Could not match to any known GPU model,,0.0,0.0,0.0,1.0,Standard,False,,,,,Model 'UNKNOWN' not found in GPU registry,
AXIS M7104 Video Encoder,New,304.99,Available,Wamatek,USA,Current,https://wamatek.com/products/axis-m7104-video-encoder,Shopify_Wamatek,"SKU: 7331021066397, Vendor: Axis Communications",AXIS M7104 Video Encoder,UNKNOWN,none,0.0,True,Could not match to any known GPU model,,0.0,0.0,0.0,1.0,Standard,False,,,,,Model 'UNKNOWN' not found in GPU registry,
NVIDIA RTX&trade; 2000 Ada,New,658.99,Available,Wamatek,USA,Current,https://wamatek.com/products/nvidia-rtx-trade-2000-ada-generation-professional-graphics-board,Shopify_Wamatek,"SKU: 751492785882, Vendor: PNY Technologies",NVIDIA RTX&trade; 2000 Ada Generation Professional Graphics Board,RTX_2000_ADA,regex,0.9,True,,regex: matched pattern 'RTX_2000_ADA' on text 'NVIDIA RTX&trade; 2000 Ada Generation',16.0,70.0,4.0,1.0,Single-slot,False,Ada,2816.0,4.0,,,
RTX 4000,New,1236.99,Available,Wamatek,USA,Current,https://wamatek.com/products/pny-nvidia-quadro-rtx-4000-graphic-card-20-gb-gddr6-1,Shopify_Wamatek,"SKU: 751492771540, Vendor: PNY Technologies",PNY NVIDIA Quadro RTX 4000 Graphic Card - 20 GB GDDR6,RTX_4000_SFF_ADA,regex,0.9,True,,regex: matched pattern 'RTX_4000_SFF_ADA' on text 'RTX 4000',20.0,70.0,4.0,1.0,SFF,False,Ada,6144.0,4.0,,,
EIZO IP Decoding Box,New,1590.99,Available,Wamatek,USA,Current,https://wamatek.com/products/eizo-ip-decoding-box,Shopify_Wamatek,"SKU: 690592057720, Vendor: EIZO",EIZO IP Decoding Box,UNKNOWN,none,0.0,True,Could not match to any known GPU model,,0.0,0.0,0.0,1.0,Standard,False,,,,,Model 'UNKNOWN' not found in GPU registry,
Radeon AMD Radeon Pro,New,988.99,Available,Wamatek,USA,Current,https://wamatek.com/products/radeon-amd-radeon-pro-w7700-graphic-card-16-gb-gddr6-full-height-1,Shopify_Wamatek,"SKU: 727419314992, Vendor: Advanced Micro Devices, Inc",Radeon AMD Radeon Pro W7700 Graphic Card - 16 GB GDDR6 - Full-height,UNKNOWN,none,0.0,True,Could not match to any known GPU model,,0.0,0.0,0.0,1.0,Standard,False,,,,,Model 'UNKNOWN' not found in GPU registry,
SIIG HDMI Over IP,New,170.99,Available,Wamatek,USA,Current,https://wamatek.com/products/siig-hdmi-over-ip-encoder-decoder-transceiver-tx-rx-mode-switching-cascading-1080p-1-to-1-600ft,Shopify_Wamatek,"SKU: 662774046235, Vendor: SIIG, Inc","SIIG HDMI Over IP Encoder & Decoder Transceiver, TX/RX Mode Switching, Cascading, 1080p, 1 to 1 600ft",UNKNOWN,none,0.0,True,Could not match to any known GPU model,,0.0,0.0,0.0,1.0,Standard,False,,,,,Model 'UNKNOWN' not found in GPU registry,
ATEN VGA to HDMI,New,67.99,Available,Wamatek,USA,Current,https://wamatek.com/products/aten-vga-to-hdmi-converter-with-audio-taa-compliant-1,Shopify_Wamatek,"SKU: 818241319832, Vendor: ATEN Technology, Inc",ATEN VGA to HDMI Converter with Audio-TAA Compliant,UNKNOWN,none,0.0,True,Could not match to any known GPU model,,0.0,0.0,0.0,1.0,Standard,False,,,,,Model 'UNKNOWN' not found in GPU registry,
StarTech.com Composite and S-Video,New,160.99,Available,Wamatek,USA,Current,https://wamatek.com/products/startech-com-composite-and-s-video-to-vga-video-scan-converter-2,Shopify_Wamatek,"SKU: 065030844345, Vendor: StarTech.com",StarTech.com Composite and S-Video to VGA Video Scan Converter,UNKNOWN,none,0.0,True,Could not match to any known GPU model,,0.0,0.0,0.0,1.0,Standard,False,,,,,Model 'UNKNOWN' not found in GPU registry,
AMD Radeon Pro W7600,New,595.99,Available,Wamatek,USA,Current,https://wamatek.com/products/amd-radeon-pro-w7600-graphic-card-8-gb-gddr6-full-height-1,Shopify_Wamatek,"SKU: 727419314855, Vendor: Advanced Micro Devices, Inc",AMD Radeon Pro W7600 Graphic Card - 8 GB GDDR6 - Full-height,UNKNOWN,none,0.0,True,Could not match to any known GPU model,,0.0,0.0,0.0,1.0,Standard,False,,,,,Model 'UNKNOWN' not found in GPU registry,
AMD Radeon Pro W7500,New,426.99,Available,Wamatek,USA,Current,https://wamatek.com/products/amd-radeon-pro-w7500-graphic-card-8-gb-gddr6-full-height-1,Shopify_Wamatek,"SKU: 727419314862, Vendor: Advanced Micro Devices, Inc",AMD Radeon Pro W7500 Graphic Card - 8 GB GDDR6 - Full-height,UNKNOWN,none,0.0,True,Could not match to any known GPU model,,0.0,0.0,0.0,1.0,Standard,False,,,,,Model 'UNKNOWN' not found in GPU registry,
AMX AMX-N26D001 Video Decoder,New,873.99,Available,Wamatek,USA,Current,https://wamatek.com/products/amx-amx-n26d001-video-decoder,Shopify_Wamatek,"SKU: 718878035009, Vendor: Harman International Industries, Inc",AMX AMX-N26D001 Video Decoder,UNKNOWN,none,0.0,True,Could not match to any known GPU model,,0.0,0.0,0.0,1.0,Standard,False,,,,,Model 'UNKNOWN' not found in GPU registry,
SIIG 4K120Hz HDMI 2.1,New,232.99,Available,Wamatek,USA,Current,https://wamatek.com/products/siig-4k120hz-hdmi-2-1-capture-device-for-gaming-and-streaming-4k60hz-capture-4k-120hz-144hz-loopout-usb-c-10gbps-taa-compliant-1,Shopify_Wamatek,"SKU: 662774046327, Vendor: SIIG, Inc",SIIG 4K120Hz HDMI 2.1 Capture Device for Gaming and Streaming - 4K60Hz Capture - 4K 120Hz/144Hz Loopout - USB-C 10Gbps - TAA Compliant,UNKNOWN,none,0.0,True,Could not match to any known GPU model,,0.0,0.0,0.0,1.0,Standard,False,,,,,Model 'UNKNOWN' not found in GPU registry,
VanCryst VGA to DVI,New,94.99,Available,Wamatek,USA,Current,https://wamatek.com/products/vancryst-vga-to-dvi-converter-taa-compliant-1,Shopify_Wamatek,"SKU: 818239142114, Vendor: ATEN Technology, Inc",VanCryst VGA to DVI Converter-TAA Compliant,UNKNOWN,none,0.0,True,Could not match to any known GPU model,,0.0,0.0,0.0,1.0,Standard,False,,,,,Model 'UNKNOWN' not found in GPU registry,
VanCryst VC010 VGA EDID,New,51.99,Available,Wamatek,USA,Current,https://wamatek.com/products/vancryst-vc010-vga-edid-emulator-taa-compliant-1,Shopify_Wamatek,"SKU: 818276921659, Vendor: ATEN Technology, Inc",VanCryst VC010 VGA EDID Emulator-TAA Compliant,UNKNOWN,none,0.0,True,Could not match to any known GPU model,,0.0,0.0,0.0,1.0,Standard,False,,,,,Model 'UNKNOWN' not found in GPU registry,
StarTech.com High Resolution VGA,New,113.99,Available,Wamatek,USA,Current,https://wamatek.com/products/startech-com-high-resolution-vga-to-composite-rca-or-s-video-converter-pc-to-tv-1,Shopify_Wamatek,"SKU: 065030830591, Vendor: StarTech.com",StarTech.com High Resolution VGA to Composite (RCA) or S-Video Converter - PC to TV,UNKNOWN,none,0.0,True,Could not match to any known GPU model,,0.0,0.0,0.0,1.0,Standard,False,,,,,Model 'UNKNOWN' not found in GPU registry,
StarTech.com SDI to HDMI,New,189.99,Available,Wamatek,USA,Current,https://wamatek.com/products/startech-com-sdi-to-hdmi-converter-3g-sdi-to-hdmi-adapter-with-sdi-loop-through-output,Shopify_Wamatek,"SKU: 818254011693, Vendor: StarTech.com",StarTech.com SDI to HDMI Converter? 3G SDI to HDMI Adapter with SDI Loop Through Output,UNKNOWN,none,0.0,True,Could not match to any known GPU model,,0.0,0.0,0.0,1.0,Standard,False,,,,,Model 'UNKNOWN' not found in GPU registry,
VanCryst VC812 HDMI to,New,172.99,Available,Wamatek,USA,Current,https://wamatek.com/products/vancryst-vc812-hdmi-to-vga-converter-with-scaler-taa-compliant-1,Shopify_Wamatek,"SKU: 818276445902, Vendor: ATEN Technology, Inc",VanCryst VC812 HDMI to VGA Converter with Scaler-TAA Compliant,UNKNOWN,none,0.0,True,Could not match to any known GPU model,,0.0,0.0,0.0,1.0,Standard,False,,,,,Model 'UNKNOWN' not found in GPU registry,
VanCryst VC840 HDMI to,New,192.99,Available,Wamatek,USA,Current,https://wamatek.com/products/vancryst-vc840-hdmi-to-3g-hd-sd-sdi-converter-taa-compliant-1,Shopify_Wamatek,"SKU: 700315921365, Vendor: ATEN Technology, Inc",VanCryst VC840 HDMI to 3G/HD/SD-SDI Converter-TAA Compliant,UNKNOWN,none,0.0,True,Could not match to any known GPU model,,0.0,0.0,0.0,1.0,Standard,False,,,,,Model 'UNKNOWN' not found in GPU registry,
StarTech.com USB 3.0 Video,New,193.99,Available,Wamatek,USA,Current,https://wamatek.com/products/startech-com-usb-3-0-video-capture-device-hdmi-dvi-vga-component-hd-video-recorder-1080p-60fps-2,Shopify_Wamatek,"SKU: 065030855952, Vendor: StarTech.com",StarTech.com USB 3.0 Video Capture Device - HDMI / DVI / VGA / Component HD Video Recorder - 1080p 60fps,UNKNOWN,none,0.0,True,Could not match to any known GPU model,,0.0,0.0,0.0,1.0,Standard,False,,,,,Model 'UNKNOWN' not found in GPU registry,
