title,bulk_notes,is_gpu
MSI AMD Radeon RX 6400 Graphic Card - 4 GB GDDR6,"SKU: 824142283356, Vendor: MSI",0
MSI NVIDIA GeForce RTX 4070 Graphic Card - 12 GB GDDR6X,"SKU: 824142319956, Vendor: MSI",1
PNY NVIDIA T1000 Graphic Card - 8 GB GDDR6,"SKU: 751492653938, Vendor: PNY Technologies",0
Asus NVIDIA GeForce RTX 4070 Ti SUPER Graphic Card - 16 GB GDDR6X,"SKU: 197105471849, Vendor: ASUS Computer International",1
PHOENIX GEFORCE RTX 3050 EVO,"SKU: 0195553815468, Vendor: ASUS - VGA NVIDIA",1
Asus NVIDIA GeForce RTX 3050 Graphic Card - 6 GB GDDR6 - Low-profile,"SKU: 197105515673, Vendor: ASUS Computer International",0
StarTech.com Component Video with Audio to HDMI&reg; Converter,"SKU: 0065030824682, Vendor: StarTech.com",0
Cisco NVIDIA Tesla M6 Graphic Card,"SKU: 882658861734, Vendor: Cisco Systems, Inc",0
PNY NVIDIA T400 Graphic Card - 4 GB GDDR6 - Low-profile,"SKU: 751492654072, Vendor: PNY QUADRO",0
MSI NVIDIA GeForce RTX 4070 Graphic Card - 12 GB GDDR6X,"SKU: 824142319932, Vendor: MSI",1
MSI NVIDIA GeForce RTX 4070 Ti SUPER Graphic Card - 16 GB GDDR6X,"SKU: 824142347065, Vendor: MSI",1
Asus NVIDIA GeForce GTX 1650 Graphic Card - 4 GB GDDR6,"SKU: 197105285743, Vendor: ASUS Computer International",0
Predator Intel Arc A770 Graphic Card - 16 GB GDDR6,"SKU: 195133180085, Vendor: Acer, Inc",0
Asus NVIDIA GeForce RTX 3060 TI Graphic Card - 8 GB GDDR6X,"SKU: 195553992428, Vendor: ASUS Computer International",1
Asus ROG NVIDIA GeForce RTX 4070 Graphic Card - 12 GB GDDR6X,"SKU: 197105175877, Vendor: ASUS Computer International",1
Asus NVIDIA GeForce RTX 4070 SUPER Graphic Card - 12 GB GDDR6X,"SKU: 197105663428, Vendor: ASUS Computer International",1
Black Box HDMI EDID Ghost,"SKU: VG-HDMI, Vendor: Black Box Corporation",0
RADEON 7750 SFF 2GB DDR3 2X DP,"SKU: 784090035387, Vendor: VISIONTEK",0
Lenovo NVIDIA Quadro RTX 5000 Graphic Card - 16 GB GDDR6 - Full-height,"SKU: 4X67A17267, Vendor: Lenovo Group Limited",1
AMX NMX-WP-N3510 MULTI-CHANNEL,"SKU: 718878025796, Vendor: HARMAN PRO",0
"Eaton Tripp Lite Series 4K HDMI Audio De-Embedder/Extractor with TOSLINK, RCA and 3.5 mm Stereo Output, 5.1 Channel, HDCP, 4K 30Hz","SKU: 991428661662, Vendor: Eaton Corporation",0
NVIDIA A16 64GB PCIe NonCEC A,"SKU: 190017546308, Vendor: Hewlett Packard Enterprise",1
MSI NVIDIA GeForce GT 710 Graphic Card - 2 GB DDR3 SDRAM - Low-profile,"SKU: 824142126905, Vendor: MSI",0
LIVE STREAMER ULTRA HD GC571,"SKU: 850036764489, Vendor: AVERMEDIA",0
Radeon AMD Radeon Pro W7700 Graphic Card - 16 GB GDDR6 - Full-height,"SKU: 727419314992, Vendor: Advanced Micro Devices, Inc",0
Gigabyte NVIDIA GeForce RTX 4070 Ti SUPER Graphic Card - 16 GB GDDR6X,"SKU: 889523041260, Vendor: GIGABYTE Technology, Inc",1
Asus ROG AMD Radeon RX 6700 XT Graphic Card - 12 GB GDDR6,"SKU: 195553119214, Vendor: ASUS Computer International",0
Black Box DVI-D to VGA Converter,"SKU: 822088064589, Vendor: Black Box Corporation",0
Kramer 4K60 4:2:0 HDMI Audio Embedder/De-Embedder,"SKU: 41-90043490, Vendor: Kramer Electronics LTD",0
"AMX H.264 Compressed Video over IP Decoder, PoE, SFP, HDMI, USB for Record","SKU: 718878025789, Vendor: Harman Professional Solutions",0
Aorus NVIDIA GeForce RTX 5090 Graphic Card - 32 GB GDDR7,"SKU: GV-N5090AORUSM ICE-32GD, Vendor: GIGABYTE Technology, Inc",1
MSI NVIDIA GeForce RTX 4070 Ti Graphic Card - 12 GB GDDR6X,"SKU: 824142306451, Vendor: MSI",1
PRED BIFROST Radeon RX 7600,"SKU: 195133207263, Vendor: Acer America Corp.",0
TUF NVIDIA GeForce RTX 4070 Ti Graphic Card - 12 GB GDDR6X,"SKU: 195553964814, Vendor: ASUS Computer International",1
Ubiquiti UniFi Protect ViewPort PoE,"SKU: 817882029575, Vendor: Ubiquiti Inc.",0
Asus NVIDIA GeForce RTX 3050 Graphic Card - 8 GB GDDR6,"SKU: 195553772464, Vendor: ASUS Computer International",1
DAZZLE DVD RECORDER HD,"SKU: 735163141535, Vendor: Corel Corporation",0
NV 1000 8G CARD,"SKU: 195892052913, Vendor: Lenovo Group Limited",1
Gefen HDMI & VGA to 3GSDI Scaler/Converter,"SKU: 888814180831, Vendor: Gefen, Inc",0
PNY NVIDIA Quadro RTX A6000 Graphic Card - 48 GB GDDR6 - Full-height,"SKU: 751492641263, Vendor: PNY Technologies",1
Panasonic AV-HS04M5 Video Expansion Card,"SKU: AV-HS04M5, Vendor: Panasonic",0
AVerMedia Live Gamer Portable 2 Plus Capture Card,"SKU: GC513, Vendor: AVerMedia Technologies, Inc",0
HPE NVIDIA A10 Graphic Card - 24 GB GDDR6,"SKU: 190017605517, Vendor: Hewlett Packard Enterprise",1
Asus NVIDIA GeForce GT 1030 Graphic Card - 2 GB GDDR5 - Low-profile,"SKU: 889349750964, Vendor: ASUS Computer International",0
PNY NVIDIA T1000 Graphic Card - 4 GB GDDR6 - Low-profile,"SKU: 751492645827, Vendor: PNY Technologies",0
MSI NVIDIA GeForce RTX 4060 Ti Graphic Card - 8 GB GDDR6,"SKU: 824142325629, Vendor: MSI",1
KanexPro 18Gbps 4K HDMI Audio Extractor with Dolby Atmos,"SKU: HAECOAX3, Vendor: KanexPro",0
Gigabyte AMD Radeon RX 7700 XT Graphic Card - 12 GB GDDR6,"SKU: 0889523039274, Vendor: GIGABYTE Technology, Inc",0
MSI NVIDIA GeForce RTX 4070 SUPER Graphic Card - 12 GB GDDR6X,"SKU: 824142346785, Vendor: MSI",1
Asus NVIDIA GeForce RTX 3050 Graphic Card - 8 GB GDDR6,"SKU: 195553772464, Vendor: ASUS Computer International",1
Asus NVIDIA GeForce RTX 4070 SUPER Graphic Card - 12 GB GDDR6X,"SKU: 197105650596, Vendor: ASUS Computer International",1
Asus NVIDIA GeForce RTX 3050 Graphic Card - 6 GB GDDR6 - Low-profile,"SKU: 197105515673, Vendor: ASUS Computer International",0
Gefen Multi-Format Processor (EXT-MFP),"SKU: EXT-MFP, Vendor: Gefen, Inc",0
Asus AMD Radeon 550 Graphic Card - 2 GB GDDR5,"SKU: 192876785140, Vendor: ASUS Computer International",0
C2G TruLink VGA to Composite PC-TV Video Adapter,"SKU: 757120295488, Vendor: Legrand Group",0
MSI NVIDIA GeForce GTX 1650 Graphic Card - 4 GB GDDR6,"SKU: 824142332849, Vendor: MSI",0
MSI NVIDIA GeForce RTX 4070 Graphic Card - 12 GB GDDR6X,"SKU: 824142319956, Vendor: MSI",1
PNY NVIDIA RTX 2000 Ada Graphic Card - 16 GB GDDR6,"SKU: 751492789774, Vendor: PNY Technologies",1
VanCryst VGA to DVI Converter-TAA Compliant,"SKU: 818239142114, Vendor: ATEN Technology, Inc",0
Vaddio OneLINK Bridge for Vaddio HDBaseT Cameras - For Video Conferencing,"SKU: 840077502287, Vendor: Vaddio",0
Black Box Audio Embedder/De-embedder - HDMI 2.0,"SKU: AEMEX-HDMI-R2, Vendor: Black Box Corporation",0
TUF NVIDIA GeForce RTX 4070 Graphic Card - 12 GB GDDR6X,"SKU: 197105134799, Vendor: ASUS Computer International",1
StarTech.com High Resolution VGA to Composite (RCA) or S-Video Converter - PC to TV,"SKU: 065030830591, Vendor: StarTech.com",0
TUF AMD Radeon RX 7900 GRE Graphic Card - 16 GB GDDR6,"SKU: 197105548466, Vendor: ASUS Computer International",0
"SIIG HDMI Over IP Encoder & Decoder Transceiver, TX/RX Mode Switching, Cascading, 1080p, 1 to 1 600ft","SKU: 662774046235, Vendor: SIIG, Inc",0
NVIDIA RTX 6000 ADA 48GB 4DP,"SKU: 198122366484, Vendor: HP INC. - NSB OPTIONS",1
Zotac NVIDIA GeForce RTX 4060 Graphic Card - 8 GB GDDR6,"SKU: 810012084048, Vendor: ZOTAC International",1
Gigabyte NVIDIA GeForce RTX 3060 Graphic Card - 12 GB GDDR6,"SKU: 889523036563, Vendor: GIGABYTE Technology, Inc",1
Asus NVIDIA GeForce RTX 4060 Graphic Card - 8 GB GDDR6 - Low-profile,"SKU: 197105454736, Vendor: ASUS Computer International",0
VisionTek AMD Radeon RX 560 Graphic Card - 4 GB GDDR5 - Low-profile,"SKU: 818275728556, Vendor: VisionTek Products, LLC",0
SmartAVI Component Video and SPDIF Audio to HDMI Converter,"SKU: V2V-C2H-01S, Vendor: Smart Audio Video Innovation",0
Asus ROG AMD Radeon RX 6700 XT Graphic Card - 12 GB GDDR6,"SKU: 195553119214, Vendor: ASUS Computer International",0
MSI NVIDIA GeForce GTX 1650 Graphic Card - 4 GB GDDR6,"SKU: 824142332849, Vendor: MSI",0
Matrox Monarch LCS Multi-Source Streaming & Recording Appliance,"SKU: MHLCS/I, Vendor: Matrox",0
VisionTek AMD Radeon HD 5570 Graphic Card - 1 GB GDDR3 - Low-profile,"SKU: 784090035004, Vendor: VisionTek Products, LLC",0
StarTech.com SDI to HDMI Converter? 3G SDI to HDMI Adapter with SDI Loop Through Output,"SKU: 818254011693, Vendor: StarTech.com",0
NVIDIA RTX 4000 ADA GPU MODULE,"SKU: 190017720203, Vendor: HPE BTO SERVER OPTIONS",1
Lenovo NVIDIA Quadro P6000 Graphic Card - 24 GB,"SKU: 7C57A02895, Vendor: Lenovo Group Limited",0
Zotac NVIDIA GeForce RTX 3050 Graphic Card - 6 GB GDDR6 - Low-profile,"SKU: 810012084642, Vendor: ZOTAC International",0
Gigabyte NVIDIA GeForce RTX 4060 Graphic Card - 8 GB GDDR6 - Low-profile,"SKU: 889523039281, Vendor: GIGABYTE Technology, Inc",0
NVIDIA RTX 6000 ADA 48GB 4DP,"SKU: 198122366484, Vendor: HP INC. - NSB OPTIONS",1
Asus NVIDIA GeForce GTX 1650 EVO Graphic Card - 4 GB GDDR6,"SKU: 197105004009, Vendor: ASUS Computer International",0
GeoVision GV-650 Video Capturing Device,"SKU: 55-650D4-160, Vendor: GeoVision, Inc",0
MSI NVIDIA GeForce RTX 4070 Ti Graphic Card - 12 GB GDDR6X,"SKU: 824142306475, Vendor: MSI",1
Lenovo NVIDIA Quadro RTX T400 Graphic Card - 2 GB,"SKU: 889488600366, Vendor: Lenovo Group Limited",1
NVIDIA RTX A400 4GB 4MDP GFX,"SKU: 198701689911, Vendor: HP INC. - NSB OPTIONS",1
Cisco NVIDIA Tesla A40 Graphic Card - 48 GB,"SKU: UCSX-GPU-A40-D, Vendor: Cisco Systems, Inc",1
AMD Radeon Pro WX 7100 Graphic Card - 8 GB GDDR5 - Full-height,"SKU: 818245780621, Vendor: Advanced Micro Devices, Inc",0
Wisenet SKY Local Display Station Decoder,"SKU: 849688017968, Vendor: Hanwha Group",0
MSI NVIDIA GeForce RTX 4070 Graphic Card - 12 GB GDDR6,"SKU: 824142383698, Vendor: MSI",1
PNY NVIDIA GeForce RTX 5080 Graphic Card - 16 GB GDDR7,"SKU: 0751492794273, Vendor: PNY Technologies",1
Asus AMD Radeon RX 7700 XT Graphic Card - 12 GB GDDR6,"SKU: 0197105430334, Vendor: ASUS Computer International",0
VanCryst VC080 HDMI EDID Emulator-TAA Compliant,"SKU: 0672792004193, Vendor: ATEN Technology, Inc",0
Cisco NVIDIA Tesla H100 Graphic Card - 80 GB - Full-height,"SKU: UCSX-GPU-H100-80=, Vendor: Cisco Systems, Inc",0
Vaddio Bridge Mini Audio/Video Encoder - For Video Conferencing Applications,"SKU: 840077501778, Vendor: Vaddio",0
GEFORCE RTX 3050 LP BRK OC,"SKU: 0197105515673, Vendor: ASUS - VGA NVIDIA",0
MSI RTX 5070 12G VENTUS 2X OC WHITE,"SKU: 824142405703, Vendor: MSI",1
GT 1030 4GD4 LP OC,"SKU: 824142327654, Vendor: MSI",0
Asus NVIDIA GeForce GTX 1650 Graphic Card - 4 GB GDDR6,"SKU: 197105000889, Vendor: ASUS Computer International",0
"AVerMedia Live Gamer DUO (GC570D), Dual 1080p Uncompressed Video Capture Card","SKU: GC570D, Vendor: AVerMedia Technologies, Inc",0
Gefen VGA & Audio to HD Scaler / Converter,"SKU: 997251583676, Vendor: Gefen",0
KanexPro 18Gbps 4K HDMI Audio Extractor with Dolby Atmos,"SKU: HAECOAX3, Vendor: KanexPro",0
"Black Box MCX S7 4K60 Network AV Encoder - HDCP 2.2, HDMI 2.0, 10-GbE Fiber","SKU: MCX-S7-FO-ENC, Vendor: Black Box Corporation",0
Asus NVIDIA GeForce RTX 4070 SUPER Graphic Card - 12 GB GDDR6X,"SKU: 197105650596, Vendor: ASUS Computer International",1
TUF AMD Radeon RX 6700 XT Graphic Card - 12 GB GDDR6,"SKU: 195553119276, Vendor: ASUS Computer International",0
Asus NVIDIA GeForce RTX 4070 Graphic Card - 12 GB GDDR6X,"SKU: 197105432017, Vendor: ASUS Computer International",1
Black Box HDMI to Analog Video Converter and Scaler,"SKU: AVSC-HDMI-VIDEO, Vendor: Black Box Corporation",0
Lenovo NVIDIA RTX 4000 Ada Graphic Card - 20 GB GDDR6,"SKU: 195892099109, Vendor: Lenovo Group Limited",1
Asus NVIDIA GeForce RTX 4070 SUPER Graphic Card - 12 GB GDDR6X,"SKU: 197105476004, Vendor: ASUS Computer International",1
NVIDIA NVIDIA RTX 4000 Ada Graphic Card - 20 GB GDDR6 - Full-height,"SKU: 812674025469, Vendor: NVIDIA Corporation",1
TUF AMD Radeon RX 6700 XT Graphic Card - 12 GB GDDR6,"SKU: 195553119276, Vendor: ASUS Computer International",0
HPE NVIDIA A10 Graphic Card - 24 GB GDDR6,"SKU: 190017605517, Vendor: Hewlett Packard Enterprise",1
Gigabyte NVIDIA GeForce RTX 4060 Graphic Card - 8 GB GDDR6 - Low-profile,"SKU: 889523039281, Vendor: GIGABYTE Technology, Inc",0
Marshall Professional 3G-SDI/HD-SDI to HDMI Converter with 3GSDI Loop-Out,"SKU: VAC-12SH, Vendor: Marshall Electronics, Inc",0
VisionTek AMD Radeon RX 560 Graphic Card - 4 GB GDDR5 - Low-profile,"SKU: 818275728556, Vendor: VisionTek Products, LLC",0
RADEON 6570 1GB DDR3DVI-I HDMI,"SKU: 810078050544, Vendor: VISIONTEK",0
Asus NVIDIA GeForce GTX 1650 Graphic Card - 4 GB GDDR6,"SKU: 195553321617, Vendor: ASUS Computer International",0
Asus NVIDIA GeForce RTX 4060 Ti Graphic Card - 8 GB GDDR6,"SKU: 197105207264, Vendor: ASUS Computer International",1
"SIIG HDMI Over IP Encoder & Decoder Transceiver, TX/RX Mode Switching, Cascading, 1080p, 1 to 1 600ft","SKU: 662774046235, Vendor: SIIG, Inc",0
AMX NMX-ENC-N2612S Encoder,"SKU: 718878035016, Vendor: Harman International Industries, Inc",0
"Eaton Tripp Lite Series VGA to HDMI Active Adapter Cable with Audio and USB Power (M/F), 1080p, 6 in. (15.2 cm)","SKU: 996591075223, Vendor: Eaton Corporation",0
Asus NVIDIA GeForce RTX 4070 SUPER Graphic Card - 12 GB GDDR6X,"SKU: 197105476004, Vendor: ASUS Computer International",1
NVIDIA RTX A400 RETAIL PACK,"SKU: 751492788067, Vendor: PNY QUADRO",1
PNY NVIDIA RTX 6000 Ada Graphic Card - 48 GB GDDR6,"SKU: 751492767246, Vendor: PNY Technologies",1
MSI RTX 5080 16G VENTUS 3X OC PLUS,"SKU: 824142395851, Vendor: MSI",1
MSI NVIDIA GeForce RTX 3060 Graphic Card - 8 GB GDDR6,"SKU: 824142306956, Vendor: MSI",1
"Eaton Tripp Lite Series 4K HDMI Audio De-Embedder/Extractor with TOSLINK, RCA and 3.5 mm Stereo Output, 5.1 Channel, HDCP, 4K 30Hz","SKU: 991428661662, Vendor: Eaton Corporation",0
Asus ROG NVIDIA GeForce RTX 3070 Ti Graphic Card - 8 GB GDDR6,"SKU: 195553243087, Vendor: ASUS Computer International",1
Ubiquiti UniFi Protect ViewPort PoE,"SKU: 817882029575, Vendor: Ubiquiti Inc.",0
AVerMedia X'TRA GO (GC515),"SKU: GC515 (Black), Vendor: AVerMedia Technologies, Inc",0
AMD FirePro S7150CG Graphic Card - 8 GB GDDR5,"SKU: 100-505734, Vendor: Advanced Micro Devices, Inc",0
VisionTek AMD Radeon HD 5570 Graphic Card - 1 GB GDDR3 - Low-profile,"SKU: 784090035004, Vendor: VisionTek Products, LLC",0
RADEON RX560 4GB GDDR5 4M,"SKU: 784090039255, Vendor: VISIONTEK",0
VanCryst VC010 VGA EDID Emulator-TAA Compliant,"SKU: 818276921659, Vendor: ATEN Technology, Inc",0
Black Box DVI-D EDID Ghost,"SKU: VG-DVI, Vendor: Black Box Corporation",0
TUF NVIDIA GeForce RTX 4070 Ti Graphic Card - 12 GB GDDR6X,"SKU: 195553964814, Vendor: ASUS Computer International",1
Asus NVIDIA GeForce RTX 4070 SUPER Graphic Card - 12 GB GDDR6X,"SKU: 197105513181, Vendor: ASUS Computer International",1
MSI RTX 5070 12G SHADOW 2X OC,"SKU: 824142405772, Vendor: MSI",1
Matrox M-Series M9148 Graphics Card,"SKU: M9148-E1024LAF, Vendor: Matrox",0
PNY NVIDIA A800 Graphic Card - 40 GB HBM2 - Low-profile,"SKU: 751492779430, Vendor: PNY Technologies",1
NVIDIA NVLINK RTX A SERIES,"SKU: 751492641430, Vendor: PNY QUADRO",0
MSI NVIDIA GeForce RTX 3060 Ti Graphic Card - 8 GB GDDR6X,"SKU: 824142307953, Vendor: MSI",1
Gigabyte NVIDIA GeForce GT 1030 Graphic Card - 2 GB DDR4 SDRAM - Low-profile,"SKU: 889523013366, Vendor: GIGABYTE Technology, Inc",0
MSI RTX 5070 12G VENTUS 2X OC WHITE,"SKU: 824142405703, Vendor: MSI",1
"AMX H.264 Compressed Video over IP Decoder, PoE, SFP, HDMI, USB for Record","SKU: 718878025789, Vendor: Harman Professional Solutions",0
Cisco NVIDIA Tesla A40 Graphic Card - 48 GB,"SKU: UCSX-GPU-A40-D, Vendor: Cisco Systems, Inc",1
Panasonic Optional Board for HS400/HS450,"SKU: AV-HS04M3, Vendor: Panasonic",0
VanCryst VC080 HDMI EDID Emulator-TAA Compliant,"SKU: 0672792004193, Vendor: ATEN Technology, Inc",0
Asus NVIDIA GeForce RTX 3060 Graphic Card - 12 GB GDDR6,"SKU: 197105125353, Vendor: ASUS Computer International",1
PROARTRTX40608G,"SKU: 197105299436, Vendor: ASUS",1
Asus NVIDIA GeForce GTX 1650 EVO Graphic Card - 4 GB GDDR6,"SKU: 197105004009, Vendor: ASUS Computer International",0
Black Box HDMI EDID Ghost,"SKU: 822088062288, Vendor: Black Box Corporation",0
HPE NVIDIA A2 Graphic Card - 16 GB GDDR6 - Low-profile,"SKU: 190017587318, Vendor: HPE BTO SERVER OPTIONS",1
HPE NVIDIA A2 Graphic Card - 16 GB GDDR6 - Low-profile,"SKU: 190017587318, Vendor: HPE BTO SERVER OPTIONS",1
Gigabyte AMD Radeon RX 7800 XT Graphic Card - 16 GB GDDR6,"SKU: 0889523039489, Vendor: GIGABYTE Technology, Inc",0
Live Streamer CAP 4K USB 3.0,"SKU: 795522966964, Vendor: AVermedia Technology",0
AMD RADEON PRO W6400,"SKU: 727419314008, Vendor: AMD PRO GRAPHICS",0
Asus NVIDIA GeForce GTX 1650 Graphic Card - 4 GB GDDR6,"SKU: 197105000902, Vendor: ASUS Computer International",0
Matrox Monarch LCS Multi-Source Streaming & Recording Appliance,"SKU: MHLCS/I, Vendor: Matrox",0
AMX NMX-ENC-N2612S Encoder,"SKU: 718878035016, Vendor: Harman International Industries, Inc",0
Asus NVIDIA GeForce GTX 1650 Graphic Card - 4 GB GDDR6,"SKU: 197105000889, Vendor: ASUS Computer International",0
MSI NVIDIA GeForce RTX 4070 Graphic Card - 12 GB GDDR6,"SKU: 824142383698, Vendor: MSI",1
Marshall Professional 3G-SDI/HD-SDI to HDMI Converter with 3GSDI Loop-Out,"SKU: VAC-12SH, Vendor: Marshall Electronics, Inc",0
Asus NVIDIA GeForce RTX 4070 Graphic Card - 12 GB GDDR6,"SKU: 197105760325, Vendor: ASUS Computer International",1
ComNet FVT8014M1 Video Encoder,"SKU: FVT8014M1, Vendor: ACRE",0
SIIG HDMI 2.0 Audio Extractor / Embedder,"SKU: CE-H23M11-S1, Vendor: SIIG, Inc",0
HP NVIDIA A800 Graphic Card - 40 GB,"SKU: 196548771899, Vendor: HP Inc.",1
Gigabyte NVIDIA GeForce RTX 5070 Ti Graphic Card - 16 GB GDDR7,"SKU: 889523048504, Vendor: GIGABYTE Technology, Inc",1
Hewlett Packard Enterprise Replacement Parts Business NVIDIA Tesla M60AC Graphic Card,"SKU: P03188-001, Vendor: HPE - Certified Genuine Parts",0
AMX NMX-WP-N1512 N1000,"SKU: 718878025734, Vendor: HARMAN PRO",0
GT 1030 4GD4 LP OC,"SKU: 824142327654, Vendor: MSI",0
TUF NVIDIA GeForce RTX 3060 TI Graphic Card - 8 GB GDDR6X,"SKU: 195553963893, Vendor: ASUS Computer International",1
MSI NVIDIA GeForce RTX 4070 Ti SUPER Graphic Card - 16 GB GDDR6X,"SKU: 824142374474, Vendor: MSI",1
MSI NVIDIA GeForce RTX 4070 SUPER Graphic Card - 12 GB GDDR6X,"SKU: 824142346785, Vendor: MSI",1
Asus NVIDIA GeForce GTX 1650 Graphic Card - 4 GB GDDR6,"SKU: 197105000889, Vendor: ASUS Computer International",0
Zotac NVIDIA GeForce RTX 4070 SUPER Graphic Card - 12 GB GDDR6X,"SKU: 810012084536, Vendor: ZOTAC International",1
Asus NVIDIA GeForce RTX 4070 Graphic Card - 12 GB GDDR6,"SKU: 197105760325, Vendor: ASUS Computer International",1
Asus NVIDIA GeForce GTX 1650 Graphic Card - 4 GB GDDR6,"SKU: 197105285743, Vendor: ASUS Computer International",0
SFF-READY ASUS PRIME GEFORCE,"SKU: 0197105878068, Vendor: ASUS - VGA NVIDIA",0
INTEL ARC A380 6GB GDDR6,"SKU: 197961887921, Vendor: HP INC. - NSB OPTIONS",0
KanexPro HDMI 1080p USB 2.0 Gaming Capture Dongle,"SKU: 813982022607, Vendor: KanexPro",0
Asus NVIDIA GeForce GT 1030 Graphic Card - 2 GB GDDR5 - Low-profile,"SKU: 889349750964, Vendor: ASUS Computer International",0
RTX 5070 TI 16G Video Card,"SKU: 824142402801, Vendor: MSI",1
StarTech.com HDMI Audio Extractor with 40K 60Hz - HDMI Audio De-embedder - HDR - Toslink Optical Audio - Dual RCA Audio - HDMI 2.0,"SKU: HD202A, Vendor: StarTech.com",0
PNY NVIDIA Quadro RTX 5000 Graphic Card - 32 GB GDDR6,"SKU: 751492778280, Vendor: PNY Technologies",1
Gigabyte NVIDIA GeForce RTX 3050 Graphic Card - 6 GB GDDR6 - Low-profile,"SKU: 889523041840, Vendor: GIGABYTE Technology, Inc",0
Vaddio OneLINK Bridge for Vaddio HDBaseT Cameras - For Video Conferencing,"SKU: 840077502287, Vendor: Vaddio",0
DUAL NVIDIA GEFORCE RTX 30506GB,"SKU: 197105470668, Vendor: ASUS - VGA NVIDIA",1
AMX NMX-ENC-N2612S Encoder,"SKU: 718878035016, Vendor: Harman International Industries, Inc",0
MSI NVIDIA GeForce RTX 4070 Graphic Card - 12 GB GDDR6X,"SKU: 824142319956, Vendor: MSI",1
Vaddio OneLINK Bridge for Vaddio HDBaseT Cameras - For Video Conferencing,"SKU: 840077502287, Vendor: Vaddio",0
ASUS TUF GAMING GEFORCE RTX,"SKU: 197105890350, Vendor: ASUS - VGA NVIDIA",0
TUF NVIDIA GeForce RTX 4070 Graphic Card - 12 GB GDDR6X,"SKU: 197105134799, Vendor: ASUS Computer International",1
LIVE STREAMER ULTRA HD GC571,"SKU: 850036764489, Vendor: AVERMEDIA",0
Gigabyte NVIDIA GeForce RTX 5070 Graphic Card - 12 GB GDDR7,"SKU: 889523048429, Vendor: GIGABYTE Technology, Inc",1
EIZO IP Decoding Box,"SKU: 690592057720, Vendor: EIZO",0
Lenovo NVIDIA RTX A2000 Graphic Card - 12 GB GDDR6,"SKU: 195892052937, Vendor: Lenovo Group Limited",1
StarTech.com USB 3.0 Video Capture Device - HDMI / DVI / VGA / Component HD Video Recorder - 1080p 60fps,"SKU: USB3HDCAP, Vendor: StarTech.com",0
MSI NVIDIA GeForce RTX 3060 Graphic Card - 12 GB GDDR6,"SKU: 824142240113, Vendor: MSI",1
Asus NVIDIA GeForce GTX 1650 EVO Graphic Card - 4 GB GDDR6,"SKU: 197105004009, Vendor: ASUS Computer International",0
Cisco NVIDIA Tesla M6 Graphic Card,"SKU: 882658861734, Vendor: Cisco Systems, Inc",0
ASUS TUF GAMING GEFORCE RTX,"SKU: 197105890336, Vendor: ASUS - VGA NVIDIA",0
Hewlett Packard Enterprise Replacement Parts Business NVIDIA Tesla M60AC Graphic Card,"SKU: P03188-001, Vendor: HPE - Certified Genuine Parts",0
RADEON 7750 SFF 2GB DDR3 2X DP,"SKU: 784090035387, Vendor: VISIONTEK",0
AVerMedia Live Streamer ULTRA HD GC571 Video Capturing Device,"SKU: GC571, Vendor: AVerMedia Technologies, Inc",0
Asus NVIDIA GeForce RTX 3050 Graphic Card - 8 GB GDDR6,"SKU: 195553645256, Vendor: ASUS Computer International",1
Asus NVIDIA GeForce RTX 4060 Graphic Card - 8 GB GDDR6 - Low-profile,"SKU: 197105454736, Vendor: ASUS Computer International",0
VanCryst VC060 DVI EDID Emulator-TAA Compliant,"SKU: 0672792004186, Vendor: ATEN Technology, Inc",0
ASUS PRIME RADEON RX 9070 XT,"SKU: 197105860810, Vendor: ASUS - VGA NVIDIA",0
MSI NVIDIA GeForce RTX 3060 Graphic Card - 12 GB GDDR6,"SKU: 824142240113, Vendor: MSI",1
RTX 5070 TI 16G Video Card,"SKU: 824142402801, Vendor: MSI",1
ASRock Intel Arc A310 Graphic Card - 4 GB GDDR6 - Low-profile,"SKU: 4710483943867, Vendor: ASRock, Inc",0
Asus NVIDIA GeForce RTX 3050 Graphic Card - 8 GB GDDR6,"SKU: 195553645256, Vendor: ASUS Computer International",1
Asus NVIDIA GeForce RTX 4060 Ti Graphic Card - 8 GB GDDR6,"SKU: 197105228757, Vendor: ASUS Computer International",1
AMX NMX-DEC-N3232-C SVSI H.264,"SKU: 718878024447, Vendor: HARMAN PRO",0
VisionTek Radeon 7750 2GB GDDR5 6M (6x MiniDP),"SKU: 0784090031808, Vendor: VisionTek Products, LLC",0
Asus NVIDIA GeForce GT 730 Graphic Card - 2 GB GDDR5 - Low-profile,"SKU: 195553250122, Vendor: ASUS",0
Asus NVIDIA GeForce RTX 4070 Ti SUPER Graphic Card - 16 GB GDDR6X,"SKU: 197105471849, Vendor: ASUS Computer International",1
Lenovo NVIDIA RTX A2000 Graphic Card - 12 GB GDDR6,"SKU: 889488598328, Vendor: Lenovo Group Limited",1
PNY NVIDIA Quadro RTX A6000 Graphic Card - 48 GB GDDR6 - Full-height,"SKU: 751492641263, Vendor: PNY Technologies",1
NV A5000 GRAPHICS CARD,"SKU: 195892022633, Vendor: LENOVO OPTIONS",1
PNY NVIDIA Quadro RTX A4000 Graphic Card - 16 GB GDDR6,"SKU: 751492645209, Vendor: PNY Technologies",1
PNY NVIDIA A800 Graphic Card - 40 GB HBM2 - Low-profile,"SKU: 751492779430, Vendor: PNY Technologies",1
